id,source,source_link,download_url,title,description,authors,date_published,license,license_url,file_type,file_name,file_size,project_scope,keywords,language,local_path,downloaded,download_date,created_at
1,Zenodo,,https://zenodo.org/api/records/16082705/files/EFL_ILP_ScopingReview_CodedData_20250718.qdpx/content,Supporting Data for Scoping Review on Interlanguage Pragmatics in EFL Contexts,"<p>This dataset contains coded data (QDPX), article summary (Word), and year-theme matrix (Excel) used in the scoping review.</p>","Huaqiang, Li",2025-07-18,CC-BY- 4.0,https://creativecommons.org/licenses/by/4.0/,qdpx,EFL_ILP_ScopingReview_CodedData_20250718.qdpx,70748772,QDA,"interlanguage pragmatics, EFL learners, scoping review",eng,,0,,2026-02-19 23:22:04
2,Zenodo,,https://zenodo.org/api/records/16082705/files/Theme_year.xlsx/content,Supporting Data for Scoping Review on Interlanguage Pragmatics in EFL Contexts,"<p>This dataset contains coded data (QDPX), article summary (Word), and year-theme matrix (Excel) used in the scoping review.</p>","Huaqiang, Li",2025-07-18,CC-BY- 4.0,https://creativecommons.org/licenses/by/4.0/,xlsx,Theme_year.xlsx,19364,Qualitative,"interlanguage pragmatics, EFL learners, scoping review",eng,,0,,2026-02-19 23:22:04
3,Zenodo,,https://zenodo.org/api/records/16082705/files/S2_Table. Data Charting and CCAT Scores of 56 Articles.docx/content,Supporting Data for Scoping Review on Interlanguage Pragmatics in EFL Contexts,"<p>This dataset contains coded data (QDPX), article summary (Word), and year-theme matrix (Excel) used in the scoping review.</p>","Huaqiang, Li",2025-07-18,CC-BY- 4.0,https://creativecommons.org/licenses/by/4.0/,docx,S2_Table. Data Charting and CCAT Scores of 56 Articles.docx,55604,Qualitative,"interlanguage pragmatics, EFL learners, scoping review",eng,,0,,2026-02-19 23:22:04
4,Zenodo,,https://zenodo.org/api/records/16082705/files/Country_Article counts.xlsx/content,Supporting Data for Scoping Review on Interlanguage Pragmatics in EFL Contexts,"<p>This dataset contains coded data (QDPX), article summary (Word), and year-theme matrix (Excel) used in the scoping review.</p>","Huaqiang, Li",2025-07-18,CC-BY- 4.0,https://creativecommons.org/licenses/by/4.0/,xlsx,Country_Article counts.xlsx,17460,Qualitative,"interlanguage pragmatics, EFL learners, scoping review",eng,,0,,2026-02-19 23:22:04
5,Zenodo,,https://zenodo.org/api/records/14535515/files/Description of the data set.pdf/content,Polish debates on higher education in the Sejm and party manifestos,"This dataset contains a qualitative analysis of seven Polish parliamentary debates on higher education and of 41 Polish party manifestos from the period 1989-2021. The parliamentary debates deal with larger higher education reforms (1990, 2001, 2005, 2011, 2018), resolutions on the condition of the HE sector (1995) and the legal package for academic freedom (2021). The party manifestos stem from the largest governing and opposition parties from all legislative periods between 1989 and 2019. The debates and manifestos have been analyzed with a qualitative content analysis with a focus on the governance and redistribution dimension as well as framing of higher education policies. 
A full list of parties, concrete dates of the debates and the coding scheme are provided in the file ""description of the dataset"".
The file has a size of 42,3 MB and is saved in maxQDA (version 2020 and 2022). A reader for maxQDA files can be downloaded free of charge from https://www.maxqda.com/products/maxqda-reader. Additionally, the document is saved in the REFI-QDA-format (.qdpx), which allows to open coded documents with different Qualitative Data Analysis programs (https://www.qdasoftware.org/).  

In this version, the description of the data set was updated by adding more details to the section 'Coding procedure and coding scheme'. 

Note: The current version of the dataset contains only party manifestos. The parliamentary debates will be added at latest in spring 2025.","zum Felde, Mareike",2024-12-20,ODC-BY,,pdf,Description of the data set.pdf,368372,Qualitative,Higher Education | Parliamentary Debates | Party Families | Party Manifestos | Poland | Policy Frames | Sejm | Social Policy | Universities | Other | Polish | Comparative Politics,,,0,,2026-02-19 23:22:04
6,Zenodo,,https://zenodo.org/api/records/14535515/files/Polish debates on higher education party manifestos.qdpx/content,Polish debates on higher education in the Sejm and party manifestos,"This dataset contains a qualitative analysis of seven Polish parliamentary debates on higher education and of 41 Polish party manifestos from the period 1989-2021. The parliamentary debates deal with larger higher education reforms (1990, 2001, 2005, 2011, 2018), resolutions on the condition of the HE sector (1995) and the legal package for academic freedom (2021). The party manifestos stem from the largest governing and opposition parties from all legislative periods between 1989 and 2019. The debates and manifestos have been analyzed with a qualitative content analysis with a focus on the governance and redistribution dimension as well as framing of higher education policies. 
A full list of parties, concrete dates of the debates and the coding scheme are provided in the file ""description of the dataset"".
The file has a size of 42,3 MB and is saved in maxQDA (version 2020 and 2022). A reader for maxQDA files can be downloaded free of charge from https://www.maxqda.com/products/maxqda-reader. Additionally, the document is saved in the REFI-QDA-format (.qdpx), which allows to open coded documents with different Qualitative Data Analysis programs (https://www.qdasoftware.org/).  

In this version, the description of the data set was updated by adding more details to the section 'Coding procedure and coding scheme'. 

Note: The current version of the dataset contains only party manifestos. The parliamentary debates will be added at latest in spring 2025.","zum Felde, Mareike",2024-12-20,ODC-BY,,qdpx,Polish debates on higher education party manifestos.qdpx,30921406,QDA,Higher Education | Parliamentary Debates | Party Families | Party Manifestos | Poland | Policy Frames | Sejm | Social Policy | Universities | Other | Polish | Comparative Politics,,,0,,2026-02-19 23:22:04
7,Zenodo,,https://zenodo.org/api/records/14535515/files/Polish debates on higher education party manifestos.mx20/content,Polish debates on higher education in the Sejm and party manifestos,"This dataset contains a qualitative analysis of seven Polish parliamentary debates on higher education and of 41 Polish party manifestos from the period 1989-2021. The parliamentary debates deal with larger higher education reforms (1990, 2001, 2005, 2011, 2018), resolutions on the condition of the HE sector (1995) and the legal package for academic freedom (2021). The party manifestos stem from the largest governing and opposition parties from all legislative periods between 1989 and 2019. The debates and manifestos have been analyzed with a qualitative content analysis with a focus on the governance and redistribution dimension as well as framing of higher education policies. 
A full list of parties, concrete dates of the debates and the coding scheme are provided in the file ""description of the dataset"".
The file has a size of 42,3 MB and is saved in maxQDA (version 2020 and 2022). A reader for maxQDA files can be downloaded free of charge from https://www.maxqda.com/products/maxqda-reader. Additionally, the document is saved in the REFI-QDA-format (.qdpx), which allows to open coded documents with different Qualitative Data Analysis programs (https://www.qdasoftware.org/).  

In this version, the description of the data set was updated by adding more details to the section 'Coding procedure and coding scheme'. 

Note: The current version of the dataset contains only party manifestos. The parliamentary debates will be added at latest in spring 2025.","zum Felde, Mareike",2024-12-20,ODC-BY,,mx20,Polish debates on higher education party manifestos.mx20,37920768,QDA,Higher Education | Parliamentary Debates | Party Families | Party Manifestos | Poland | Policy Frames | Sejm | Social Policy | Universities | Other | Polish | Comparative Politics,,,0,,2026-02-19 23:22:04
8,Zenodo,,https://zenodo.org/api/records/14535515/files/DiscussData-polish-debates-on-higher-education-in-the-sejm-and-party-manifestos-v1.1-description.pdf/content,Polish debates on higher education in the Sejm and party manifestos,"This dataset contains a qualitative analysis of seven Polish parliamentary debates on higher education and of 41 Polish party manifestos from the period 1989-2021. The parliamentary debates deal with larger higher education reforms (1990, 2001, 2005, 2011, 2018), resolutions on the condition of the HE sector (1995) and the legal package for academic freedom (2021). The party manifestos stem from the largest governing and opposition parties from all legislative periods between 1989 and 2019. The debates and manifestos have been analyzed with a qualitative content analysis with a focus on the governance and redistribution dimension as well as framing of higher education policies. 
A full list of parties, concrete dates of the debates and the coding scheme are provided in the file ""description of the dataset"".
The file has a size of 42,3 MB and is saved in maxQDA (version 2020 and 2022). A reader for maxQDA files can be downloaded free of charge from https://www.maxqda.com/products/maxqda-reader. Additionally, the document is saved in the REFI-QDA-format (.qdpx), which allows to open coded documents with different Qualitative Data Analysis programs (https://www.qdasoftware.org/).  

In this version, the description of the data set was updated by adding more details to the section 'Coding procedure and coding scheme'. 

Note: The current version of the dataset contains only party manifestos. The parliamentary debates will be added at latest in spring 2025.","zum Felde, Mareike",2024-12-20,ODC-BY,,pdf,DiscussData-polish-debates-on-higher-education-in-the-sejm-and-party-manifestos-v1.1-description.pdf,55021,Qualitative,Higher Education | Parliamentary Debates | Party Families | Party Manifestos | Poland | Policy Frames | Sejm | Social Policy | Universities | Other | Polish | Comparative Politics,,,0,,2026-02-19 23:22:04
9,Zenodo,,https://zenodo.org/api/records/14535515/files/Polish debates on higher education party manifestos.mx22/content,Polish debates on higher education in the Sejm and party manifestos,"This dataset contains a qualitative analysis of seven Polish parliamentary debates on higher education and of 41 Polish party manifestos from the period 1989-2021. The parliamentary debates deal with larger higher education reforms (1990, 2001, 2005, 2011, 2018), resolutions on the condition of the HE sector (1995) and the legal package for academic freedom (2021). The party manifestos stem from the largest governing and opposition parties from all legislative periods between 1989 and 2019. The debates and manifestos have been analyzed with a qualitative content analysis with a focus on the governance and redistribution dimension as well as framing of higher education policies. 
A full list of parties, concrete dates of the debates and the coding scheme are provided in the file ""description of the dataset"".
The file has a size of 42,3 MB and is saved in maxQDA (version 2020 and 2022). A reader for maxQDA files can be downloaded free of charge from https://www.maxqda.com/products/maxqda-reader. Additionally, the document is saved in the REFI-QDA-format (.qdpx), which allows to open coded documents with different Qualitative Data Analysis programs (https://www.qdasoftware.org/).  

In this version, the description of the data set was updated by adding more details to the section 'Coding procedure and coding scheme'. 

Note: The current version of the dataset contains only party manifestos. The parliamentary debates will be added at latest in spring 2025.","zum Felde, Mareike",2024-12-20,ODC-BY,,mx22,Polish debates on higher education party manifestos.mx22,44384256,QDA,Higher Education | Parliamentary Debates | Party Families | Party Manifestos | Poland | Policy Frames | Sejm | Social Policy | Universities | Other | Polish | Comparative Politics,,,0,,2026-02-19 23:22:04
10,Zenodo,,https://zenodo.org/api/records/18196304/files/Data File.xlsx/content,"Implementation Science, Program Fidelity, and Program Delivery in Scaling Early Literacy Interventions for Children Aged 3–13: A Systematic Review","<p>This data set contains the qdpx coding file done through Qual Coder 3.7 , thematic coding master code list, Data set extracted against research questions and the bibliometric metadata of included studies&nbsp;</p>","Mishra, Pradeep Kumar",2026-01-09,CC-BY- 4.0,https://creativecommons.org/licenses/by/4.0/,xlsx,Data File.xlsx,28599,Qualitative,,,,0,,2026-02-19 23:22:04
